0.531000	2017-07-31 10:00:52
0.480000	2017-07-31 10:00:41
0.520000	2017-07-31 09:59:26
0.461000	2017-07-31 09:57:08
0.406000	2017-07-31 09:56:28
0.485000	2017-07-31 09:56:19
0.524000	2017-07-31 09:56:08
0.547000	2017-07-31 09:56:01
0.556000	2017-07-31 09:56:00
2.703000	2017-07-31 09:54:55
0.610000	2017-07-31 09:54:52
0.388000	2017-07-31 09:54:38
0.449000	2017-07-31 09:54:33
0.440000	2017-07-31 09:53:11
0.506000	2017-07-31 09:53:11
0.410000	2017-07-31 09:53:10
0.477000	2017-07-31 09:53:09
0.487000	2017-07-31 09:53:01
0.476000	2017-07-31 09:52:33
0.529000	2017-07-31 09:52:32
0.548000	2017-07-31 09:51:21
0.581000	2017-07-31 09:50:45
0.436000	2017-07-31 09:49:25
0.468000	2017-07-31 09:48:53
0.504000	2017-07-31 09:46:26
0.466000	2017-07-31 09:46:14
0.436000	2017-07-31 09:46:09
0.518000	2017-07-31 09:45:19
0.497000	2017-07-31 09:44:51
0.488000	2017-07-31 09:44:49
0.486000	2017-07-31 09:44:49
0.743000	2017-07-31 09:44:17
0.589000	2017-07-31 09:43:38
0.483000	2017-07-31 09:43:16
0.509000	2017-07-31 09:41:35
0.512000	2017-07-31 09:41:02
0.490000	2017-07-31 09:40:04
0.477000	2017-07-31 09:34:57
0.520000	2017-07-31 09:33:53
0.481000	2017-07-31 09:33:42
0.407000	2017-07-31 09:32:48
0.572000	2017-07-31 09:32:31
0.485000	2017-07-31 09:30:33
0.473000	2017-07-31 09:30:04
0.498000	2017-07-31 09:29:33
0.470000	2017-07-31 09:28:41
0.479000	2017-07-31 09:28:04
0.496000	2017-07-31 09:27:13
0.451000	2017-07-31 09:27:01
0.550000	2017-07-31 09:26:30
0.494000	2017-07-31 09:25:17
0.464000	2017-07-31 09:24:42
0.499000	2017-07-31 09:24:20
0.565000	2017-07-31 09:23:12
0.574000	2017-07-31 09:22:45
0.489000	2017-07-31 09:22:01
0.513000	2017-07-31 09:21:24
0.473000	2017-07-31 09:20:04
0.577000	2017-07-31 09:19:22
0.501000	2017-07-31 09:17:28
0.417000	2017-07-31 09:16:27
0.478000	2017-07-31 09:16:27
0.582000	2017-07-31 09:15:26
0.523000	2017-07-31 09:14:58
0.498000	2017-07-31 09:14:42
0.431000	2017-07-31 09:12:35
0.469000	2017-07-31 09:11:51
0.486000	2017-07-31 09:11:49
0.414000	2017-07-31 09:11:07
0.524000	2017-07-31 09:10:49
0.503000	2017-07-31 09:10:38
0.541000	2017-07-31 09:09:07
0.482000	2017-07-31 09:08:23
0.599000	2017-07-31 09:08:22
0.484000	2017-07-31 09:07:52
0.534000	2017-07-31 09:07:52
0.581000	2017-07-31 09:06:50
0.486000	2017-07-31 09:05:45
0.418000	2017-07-31 09:05:19
0.486000	2017-07-31 09:04:33
0.462000	2017-07-31 09:04:02
0.537000	2017-07-31 09:02:43
0.583000	2017-07-31 09:01:59
0.925000	2017-07-31 09:00:52
0.457000	2017-07-31 09:00:51
2.828000	2017-07-31 09:00:15
0.567000	2017-07-31 08:58:51
0.483000	2017-07-31 08:57:58
0.470000	2017-07-31 08:57:09
0.459000	2017-07-31 08:57:05
0.405000	2017-07-31 08:54:25
0.524000	2017-07-31 08:50:29
0.487000	2017-07-31 08:49:09
0.511000	2017-07-31 08:48:20
0.516000	2017-07-31 08:47:55
0.558000	2017-07-31 08:47:44
0.555000	2017-07-31 08:46:48
0.479000	2017-07-31 08:44:36
0.500000	2017-07-31 08:43:58
0.491000	2017-07-31 08:43:11
